source_project_id,project_name,country,storage_class,year,actual_stored_mt,value_status,source_vintage,source_url
london-2025-003,Carbfix Storage,Iceland,dedicated,2013,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2014,0.002,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2015,0.004,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2016,0.007,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2017,0.01,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2018,0.012,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2019,0.01,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2020,0.012,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2021,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2022,0.012,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2023,0.012,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2024,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,1996,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,1997,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,1998,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,1999,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,2000,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,2001,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,2002,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,2003,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,2004,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,2005,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,2006,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,eor,2007,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
