source_project_id,project_name,country,region,project_partners,project_type,lifecycle_stage,source_status,project_phase,sector,subsector,capacity_basis,capacity_mtpa,announced_capacity_mtpa,cdr_capacity_mtpa,announcement_year,fid_year,announced_start_year,suspension_or_cancellation_year,co2_destination,parent_hub,reference_urls,source_vintage,source_url,source_form,canonical_project_id,mapping_status
iea-2026-0474,South Texas DAC Hub (TX),United States,North America,1PointFive (Occidental),Full chain,concept,Planned,1,DAC,Direct Air Capture,capture_capacity,1.0,1.0,1.0,2022,,2030,,Dedicated storage,South Texas DAC Hub,https://carbonengineering.com/news-updates/multi-million-tonne-south-texas/|https://www.1pointfive.com/news/1pointfive-south-texas-dac-hub-awarded-us-doe-funding,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0477,Gemini (formerly Denbury Ascension Parish sequestration) (LA),United States,North America,ExxonMobil (formerly Denbury carbon solutions),Storage,concept,Planned,,CO2 T&S,CO2 storage,storage_injection_capacity,10.0,10.0,,2022,,2027,,Dedicated storage,Gemini (LA),https://www.denbury.com/investor-relations/press-releases/press-release-details/2022/Denbury-Expands-CO2-Sequestration-Portfolio-With-Additional-Site-in-Louisianas-Industrial-Corridor/default.aspx|https://www.denbury.com/wp-content/uploads/2022/11/DEN-Pipeline-Schedule.pdf|https://www.energytech.com/energy-storage/article/21253915/denbury-gains-ccs-rights-for-proposed-hydrogenammonia-complex-in-louisiana,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0484,Ascension Clean Energy (ACE) complex (LA) Phase 1,United States,North America,"Clean Hydrogen Works (Joint venture between Denbury Carbon Solutions (ExxonMobil) (T&S), Hafnia (ammonia export), Mitsui O.S.K. Lines (MOL) (shipping))",Capture,concept,Planned,,Fuel transformation,Hydrogen or ammonia,capture_capacity,3.78,3.78,,2022,2026,2029,,Dedicated storage,Denbury Green pipeline /Gemini (LA),https://www.cleanhydrogenworks.com/news/clean-hydrogen-works-awards-mcdermott-feed-contract-for-ascension-clean-energy-ace-project.html|https://www.cleanhydrogenworks.com/the-ace-project/,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0486,Centrica Equinor hydrogen hub Easington collaboration,United Kingdom,Europe,"Centrica, Equinor",Full chain,concept,Planned,,Fuel transformation,Hydrogen or ammonia,capture_capacity,,,,2022,,,,Dedicated storage,,https://www.centrica.com/media-centre/news/2022/centrica-and-equinor-sign-co-operation-agreement-for-east-yorkshire-hydrogen-hub/,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0487,"BlueBonnet Sequestration Hub (Chambers, Liberty, and Jefferson County) (TX)",United States,North America,1PointFive (Occidental),Storage,concept,Planned,,CO2 T&S,CO2 storage,storage_injection_capacity,8.0,8.0,,2022,,2028,,Dedicated storage,BlueBonnet sequestration hub,https://www.oxy.com/news/news-releases/oxy-low-carbon-ventures-and-natural-resource-partners-l.p.-enter-into-co2-sequestration-agreement/|https://www.1pointfive.com/1pointfive-announces-plan-to-develop-carbon-capture-and-sequestration-hub-in-southeast-texas,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0492,Alberta Carbon Grid (ALB) phase 2,Canada,North America,"Pembina Pipeline Corporation, TC Energy",T&S,concept,Planned,2,CO2 T&S,CO2 T&S,storage_injection_capacity,10.0,10.0,,2021,,,,Dedicated storage,Alberta Carbon Grid (ALB),https://albertacarbongrid.ca/news/acg-secures-rights-to-evaluate-one-of-the-largest-carbon-storage-areas-in-alberta/,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0494,Taiwan Cement Hoping/Heping plant,Chinese Taipei,Other Asia Pacific,Taiwan cement,Capture,concept,Planned,1,Industry,Cement,capture_capacity,0.1,0.1,,2019,,2030,,Use,,https://www.taiwancement.com/en/esgGhgCarbonEmissions.html|https://www.cemnet.com/News/story/166756/taiwan-cement-co-sets-co2-capture-targets.html,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0495,EnLink midstream network (LA),United States,North America,EnLink Midstream,Transport,concept,Planned,,CO2 T&S,CO2 transport,transport_capacity,2.0,2.0,,2022,,,,Dedicated storage,Enlink midstream network (LA),https://sustainability.enlink.com/carbon-solutions/,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0496,Athabasca Banks Carbon Hub (ALB),Canada,North America,"Vault 44.01 Ltd., Moraine Initiatives Ltd.",Storage,concept,Planned,,CO2 T&S,CO2 storage,storage_injection_capacity,,,,2022,2026,2027,,Dedicated storage,Athabasca Banks Carbon Hub (ALB),,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0497,Battle River Carbon Hub (ALB),Canada,North America,"Heartland Generation Ltd., Carbon Alpha",T&S,concept,Planned,,CO2 T&S,CO2 T&S,storage_injection_capacity,5.0,5.0,,2022,,2029,,Dedicated storage,Battle River Carbon Hub (ALB),https://www.alberta.ca/carbon-capture-utilization-and-storage-hub-development-process.aspx|https://www.linkedin.com/posts/carbon-alpha_heartland-generation-battle-river-carbon-activity-6973270756914851840-aiw8/?trk=public_profile_like_view&originalSubdomain=ca|https://www.heartlandgeneration.com/post/heartland-generation-selected-by-government-of-alberta-to-evaluate-a-carbon-sequestration-hub-in-alberta,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0498,Bow River Hub (ALB),Canada,North America,"Inter Pipeline Ltd., Entropy Inc.",T&S,concept,Planned,,CO2 T&S,CO2 T&S,storage_injection_capacity,5.0,5.0,,2022,,,,Dedicated storage,Bow River Hub (ALB),https://www.alberta.ca/carbon-capture-utilization-and-storage-hub-development-process.aspx|https://www.newswire.ca/news-releases/entropy-inc-provides-operational-and-corporate-update-821286982.html|https://www.linkedin.com/posts/entropyinc_carboncapture-alberta-co2hubs-activity-6983488956248047616-kWhw/,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0500,Central Alberta Hub (ALB),Canada,North America,"Wolf Midstream, Whitecap Resources Inc., the First Nation Capital Investment Partnership (FNCIP), Heart Lake First Nation",Storage,concept,Planned,,CO2 T&S,CO2 storage,storage_injection_capacity,,,,2022,,2027,,Dedicated storage,Alberta Carbon TrunkLine (ACTL)/Central Alberta Hub (ALB),https://www.alberta.ca/carbon-capture-utilization-and-storage-hub-development-process.aspx,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0501,East Calgary Region Carbon Sequestration Hub (ALB),Canada,North America,"Reconciliation Energy Transition Inc. (RETI), Sumitomo",T&S,concept,Planned,,CO2 T&S,CO2 T&S,storage_injection_capacity,10.0,5.0,,2022,,2027,,Dedicated storage,East Calgary Region Carbon Sequestration Hub (ALB),https://www.alberta.ca/carbon-capture-utilization-and-storage-hub-development-process.aspx|https://finance.yahoo.com/news/reconciliation-energy-transition-inc-announces-130000578.html|https://www.newswire.ca/news-releases/reconciliation-energy-transition-inc-announces-successful-proposal-for-the-east-calgary-region-carbon-sequestration-hub-899913131.html|https://www.newswire.ca/news-releases/reconciliation-energy-transition-inc-and-sumitomo-corporation-of-americas-announce-exclusivity-agreement-for-carbon-transportation-and-sequestration-project-in-alberta-canada-886172276.html|https://www.sumitomocorp.com/en/jp/news/topics/2024/group/20240524,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0502,Grande Prairie Net Zero Gateway (ALB),Canada,North America,"Keyera Corp., Entropy Inc., NorthRiver Midstream",Storage,concept,Planned,,CO2 T&S,CO2 storage,storage_injection_capacity,3.3,3.3,,2022,,,,Dedicated storage,Grande Prairie Net Zero Gateway,https://www.alberta.ca/carbon-capture-utilization-and-storage-hub-development-process.aspx|https://www.linkedin.com/posts/entropyinc_carboncapture-alberta-co2hubs-activity-6983488956248047616-kWhw/|https://www.keyera.com/new-ventures/,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
